,open,low,high,close,price_change,change_percent,date,shamsi_date
1157,"33,580","33,490","33,600","33,490",10,0.03%,2015/08/20,1394/05/29
1158,"33,500","33,480","33,630","33,480",20,0.06%,2015/08/22,1394/05/31
1159,"33,660","33,500","33,720","33,500",50,0.15%,2015/08/23,1394/06/01
1160,"33,680","33,550","33,760","33,550",100,0.3%,2015/08/24,1394/06/02
1161,"33,730","33,580","33,810","33,650",20,0.06%,2015/08/25,1394/06/03
1162,"33,860","33,630","34,070","33,630",80,0.24%,2015/08/26,1394/06/04
1163,"33,690","33,550","34,000","33,550",40,0.12%,2015/08/27,1394/06/05
1164,"33,870","33,590","33,930","33,590",80,0.24%,2015/08/29,1394/06/07
1165,"33,780","33,670","33,890","33,670",100,0.3%,2015/08/30,1394/06/08
1166,"34,020","33,770","34,100","33,770",230,0.68%,2015/08/31,1394/06/09
1167,"34,030","33,960","34,120","34,000",20,0.06%,2015/09/01,1394/06/10
1168,"34,160","33,980","34,160","33,980",130,0.38%,2015/09/02,1394/06/11
1169,"34,000","33,850","34,050","33,850",20,0.06%,2015/09/03,1394/06/12
1170,"34,120","33,830","34,120","33,830",140,0.41%,2015/09/05,1394/06/14
1171,"33,920","33,920","34,270","33,970",80,0.24%,2015/09/06,1394/06/15
1172,"34,220","33,890","34,270","33,890",60,0.18%,2015/09/07,1394/06/16
1173,"34,150","33,830","34,370","33,830",20,0.06%,2015/09/08,1394/06/17
1174,"34,220","33,830","34,320","33,850",-,-,2015/09/09,1394/06/18
1175,"33,920","33,850","34,300","33,850",50,0.15%,2015/09/10,1394/06/19
1176,"34,370","33,900","34,500","33,900",80,0.24%,2015/09/12,1394/06/21
1177,"34,040","33,980","34,560","33,980",220,0.65%,2015/09/13,1394/06/22
1178,"34,130","34,130","34,750","34,200",250,0.74%,2015/09/14,1394/06/23
1179,"34,340","33,950","34,920","33,950",20,0.06%,2015/09/15,1394/06/24
1180,"34,510","33,930","34,510","33,930",80,0.24%,2015/09/16,1394/06/25
